"convocation","years","first_name","last_name","counter","x","y"
1,"1990-1994","Іван","Бойко","1",9,11
1,"1990-1994","Леонід","Білий","1",10,11
1,"1990-1994","Олександр","Воробйов","1",1,12
1,"1990-1994","Володимир","Петренко","1",2,12
1,"1990-1994","Левко","Лук'яненко","1",3,12
1,"1990-1994","Василь","Костицький","1",4,12
1,"1990-1994","Маркіян","Чучук","1",5,12
1,"1990-1994","Михайло","Голубець","1",6,12
1,"1990-1994","Степан","Пушик","1",7,12
1,"1990-1994","Павло","Мовчан","1",8,12
1,"1990-1994","Володимир","Шовкошитний","1",9,12
1,"1990-1994","Степан","Волковецький","1",10,12
1,"1990-1994","Володимир","Шлемко","1",1,13
1,"1990-1994","Зіновій","Дума","1",2,13
1,"1990-1994","Любомир","Пиріг","1",3,13
1,"1990-1994","Євген","Новицький","1",4,13
1,"1990-1994","Дмитро","Захарук","1",5,13
1,"1990-1994","Богдан","Ребрик","1",6,13
1,"1990-1994","Петро","Осадчук","1",7,13
1,"1990-1994","Галина","Васильєва","1",8,13
1,"1990-1994","Володимир","Макеєнко","1",9,13
1,"1990-1994","Олександр","Ємець","1",10,13
1,"1990-1994","Володимир","Хоменко","1",1,14
1,"1990-1994","Василь","Михайлюк","1",2,14
1,"1990-1994","Олександр","Андріяка","1",3,14
1,"1990-1994","Іван","Куцай","1",4,14
1,"1990-1994","Василь","Мартинчук","1",5,14
1,"1990-1994","Микола","Коваленко","1",6,14
1,"1990-1994","Володимир","Ейсмонт","1",7,14
1,"1990-1994","Василь","Сінько","1",8,14
1,"1990-1994","Валентина","Єщенко","1",9,14
1,"1990-1994","Олександр","Рябоконь","1",10,14
1,"1990-1994","Станіслав","Гуренко","1",1,15
1,"1990-1994","Василь","Андрощук","1",2,15
1,"1990-1994","Юрій","Костенко","1",3,15
1,"1990-1994","Олександр","Нечипоренко","1",4,15
1,"1990-1994","Іван","Плющ","1",5,15
1,"1990-1994","Іван","Ніколаєнко","1",6,15
1,"1990-1994","Валентин","Швець","1",7,15
1,"1990-1994","Олександр","Мороз","1",8,15
1,"1990-1994","Володимир","Панченко","1",9,15
1,"1990-1994","Віктор","Шишкін","1",10,15
1,"1990-1994","Олександр","Тарасенко","1",1,16
1,"1990-1994","Фелікс","Павленко","1",2,16
1,"1990-1994","Борис","Мокін","1",3,16
1,"1990-1994","Василь","Дурдинець","1",4,16
1,"1990-1994","Володимир","Ігнатенко","1",5,16
1,"1990-1994","Василь","Крючков","1",6,16
1,"1990-1994","Володимир","Желіба","1",7,16
1,"1990-1994","Іван","Мусієнко","1",8,16
1,"1990-1994","Євген","Мармазов","1",9,16
1,"1990-1994","Юрій","Ступніков","1",10,16
1,"1990-1994","Владилен","Некрасов","1",1,17
1,"1990-1994","Геннадій","Ванєєв","1",2,17
1,"1990-1994","Олександр","Кондряков","1",3,17
1,"1990-1994","Арсен","Зінченко","1",4,17
1,"1990-1994","Віталій","Павліченко","1",5,17
1,"1990-1994","Володимир","Севастьянов","1",6,17
1,"1990-1994","Володимир","Терехов","1",7,17
1,"1990-1994","Анатолій","Матійко","1",8,17
1,"1990-1994","Анатолій","Пшеничников","1",9,17
1,"1990-1994","Віталій","Курашик","1",10,17
1,"1990-1994","Яків","Аптер","1",1,18
1,"1990-1994","Сергій","Куніцин","1",2,18
1,"1990-1994","Сергій","Цеков","1",3,18
1,"1990-1994","Віталій","Рева","1",4,18
1,"1990-1994","Олексій","Саввін","1",5,18
1,"1990-1994","Микола","Спис","1",6,18
1,"1990-1994","Олександр","Перепадін","1",7,18
1,"1990-1994","Микола","Колісниченко","1",8,18
1,"1990-1994","Микола","Кузьменко","1",9,18
1,"1990-1994","Григорій","Демидов","1",10,18
1,"1990-1994","Микола","Багров","1",1,19
1,"1990-1994","Анатолій","Гаврилов","1",2,19
1,"1990-1994","Леонід","Казак","1",3,19
1,"1990-1994","Орест","Влох","1",4,19
1,"1990-1994","Іван","Драч","1",5,19
1,"1990-1994","Борис","Олійник","1",6,19
1,"1990-1994","Михайло","Горинь","1",7,19
1,"1990-1994","Степан","Хмара","1",8,19
1,"1990-1994","Богдан","Котик","1",9,19
1,"1990-1994","Віктор","Пинзеник","1",10,19
1,"1990-1994","Ігор","Юхновський","1",1,20
1,"1990-1994","Вячеслав","Чорновіл","1",2,20
1,"1990-1994","Роман","Іваничук","1",3,20
1,"1990-1994","Ігор","Деркач","1",4,20
1,"1990-1994","Віталій","Романюк","1",5,20
1,"1990-1994","Богдан","Козярський","1",6,20
1,"1990-1994","Дмитро","Чобіт","1",7,20
1,"1990-1994","Ігор","Борщенко","1",8,20
1,"1990-1994","Михайло","Батіг","1",9,20
1,"1990-1994","Євген","Гринів","1",10,20
1,"1990-1994","Богдан","Горинь","1",1,21
