"convocation","gender","last_name","first_name","year","years","start","age_at_start","full_name","label"
1,1,"Герц","Іван",1936,"1990-1994","1990",54,"Іван Герц",3
1,1,"Гуренко","Станіслав",1936,"1990-1994","1990",54,"Станіслав Гуренко",4
1,1,"Драч","Іван",1936,"1990-1994","1990",54,"Іван Драч",5
1,1,"Котик","Богдан",1936,"1990-1994","1990",54,"Богдан Котик",6
1,1,"Гринів","Євген",1936,"1990-1994","1990",54,"Євген Гринів",7
1,1,"Горинь","Богдан",1936,"1990-1994","1990",54,"Богдан Горинь",8
1,1,"Гальцев","Павло",1936,"1990-1994","1990",54,"Павло Гальцев",9
1,1,"Стадниченко","Володимир",1936,"1990-1994","1990",54,"Володимир Стадниченко",10
1,1,"Васін","Євген",1936,"1990-1994","1990",54,"Євген Васін",11
1,1,"Ткач","Полікарп",1936,"1990-1994","1990",54,"Полікарп Ткач",12
1,1,"Шкарбан","Микола",1936,"1990-1994","1990",54,"Микола Шкарбан",13
1,1,"Єршов","Аркадій",1936,"1990-1994","1990",54,"Аркадій Єршов",14
1,1,"Рапій","Роман",1936,"1990-1994","1990",54,"Роман Рапій",15
1,1,"Карасик","Владлен",1936,"1990-1994","1990",54,"Владлен Карасик",16
1,1,"Уманець","Юрій",1936,"1990-1994","1990",54,"Юрій Уманець",17
1,1,"Шариков","Борис",1936,"1990-1994","1990",54,"Борис Шариков",18
1,1,"Поперняк","Анатолій",1936,"1990-1994","1990",54,"Анатолій Поперняк",19
1,1,"Дробінський","Віталій",1936,"1990-1994","1990",54,"Віталій Дробінський",20
1,1,"Бондарчук","Андрій",1936,"1990-1994","1990",54,"Андрій Бондарчук",21
1,1,"Гришко","Михайло",1936,"1990-1994","1990",54,"Михайло Гришко",22
1,1,"Ляхов","Іван",1936,"1990-1994","1990",54,"Іван Ляхов",23
1,1,"Мельник","Анатолій",1936,"1990-1994","1990",54,"Анатолій Мельник",24
1,2,"Остроущенко","Світлана",1937,"1990-1994","1990",53,"Світлана Остроущенко",1
1,1,"Чулаков","Євген",1937,"1990-1994","1990",53,"Євген Чулаков",2
1,1,"Корнєєв","Альберт",1937,"1990-1994","1990",53,"Альберт Корнєєв",3
1,1,"Булянда","Олександр",1937,"1990-1994","1990",53,"Олександр Булянда",4
1,1,"Задорожний","Борис",1937,"1990-1994","1990",53,"Борис Задорожний",5
1,1,"Ясинський","Володимир",1937,"1990-1994","1990",53,"Володимир Ясинський",6
1,1,"Дорчинець","Дмитро",1937,"1990-1994","1990",53,"Дмитро Дорчинець",7
1,1,"Білоусенко","Олександр",1937,"1990-1994","1990",53,"Олександр Білоусенко",8
1,1,"Осадчук","Петро",1937,"1990-1994","1990",53,"Петро Осадчук",9
1,1,"Дурдинець","Василь",1937,"1990-1994","1990",53,"Василь Дурдинець",10
1,1,"Ігнатенко","Володимир",1937,"1990-1994","1990",53,"Володимир Ігнатенко",11
1,1,"Павліченко","Віталій",1937,"1990-1994","1990",53,"Віталій Павліченко",12
1,1,"Терехов","Володимир",1937,"1990-1994","1990",53,"Володимир Терехов",13
1,1,"Багров","Микола",1937,"1990-1994","1990",53,"Микола Багров",14
1,1,"Хмара","Степан",1937,"1990-1994","1990",53,"Степан Хмара",15
1,1,"Чорновіл","Вячеслав",1937,"1990-1994","1990",53,"Вячеслав Чорновіл",16
1,1,"Савченко","Анатолій",1937,"1990-1994","1990",53,"Анатолій Савченко",17
1,1,"Потебенько","Михайло",1937,"1990-1994","1990",53,"Михайло Потебенько",18
1,1,"Мазур","Юлій",1937,"1990-1994","1990",53,"Юлій Мазур",19
1,1,"Лобенко","Анатолій",1937,"1990-1994","1990",53,"Анатолій Лобенко",20
1,1,"Рибальченко","Анатолій",1937,"1990-1994","1990",53,"Анатолій Рибальченко",21
1,1,"Дудченко","Віталій",1937,"1990-1994","1990",53,"Віталій Дудченко",22
1,1,"Печеров","Андрій",1937,"1990-1994","1990",53,"Андрій Печеров",23
1,1,"Мартиненко","Володимир",1937,"1990-1994","1990",53,"Володимир Мартиненко",24
1,1,"Гопей","Іван",1937,"1990-1994","1990",53,"Іван Гопей",25
1,1,"Бандурка","Олександр",1937,"1990-1994","1990",53,"Олександр Бандурка",26
1,1,"Нагулко","Тарас",1937,"1990-1994","1990",53,"Тарас Нагулко",27
1,1,"Жук","Віктор",1937,"1990-1994","1990",53,"Віктор Жук",28
1,1,"Ревенко","Микола",1937,"1990-1994","1990",53,"Микола Ревенко",29
1,1,"Леміш","Валентин",1937,"1990-1994","1990",53,"Валентин Леміш",30
1,1,"Козаренко","Василь",1937,"1990-1994","1990",53,"Василь Козаренко",31
1,1,"Базілянський","Лев",1937,"1990-1994","1990",53,"Лев Базілянський",32
1,1,"Гавриленко","Микола",1937,"1990-1994","1990",53,"Микола Гавриленко",33
1,1,"Ліщина","Богдан",1937,"1990-1994","1990",53,"Богдан Ліщина",34
1,1,"Духов","Борис",1937,"1990-1994","1990",53,"Борис Духов",35
1,1,"Попов","Микола",1937,"1990-1994","1990",53,"Микола Попов",36
1,1,"Сметанін","Володимир",1937,"1990-1994","1990",53,"Володимир Сметанін",37
1,1,"Коробко","Микола",1937,"1990-1994","1990",53,"Микола Коробко",38
1,1,"Слєднєв","Володимир",1938,"1990-1994","1990",52,"Володимир Слєднєв",1
1,1,"Короленко","Євген",1938,"1990-1994","1990",52,"Євген Короленко",2
1,1,"Причкін","Олексій",1938,"1990-1994","1990",52,"Олексій Причкін",3
1,1,"Ребрик","Богдан",1938,"1990-1994","1990",52,"Богдан Ребрик",4
1,1,"Мартинчук","Василь",1938,"1990-1994","1990",52,"Василь Мартинчук",5
1,1,"Ейсмонт","Володимир",1938,"1990-1994","1990",52,"Володимир Ейсмонт",6
1,1,"Мармазов","Євген",1938,"1990-1994","1990",52,"Євген Мармазов",7
1,1,"Рева","Віталій",1938,"1990-1994","1990",52,"Віталій Рева",8
1,1,"Саввін","Олексій",1938,"1990-1994","1990",52,"Олексій Саввін",9
1,1,"Романюк","Віталій",1938,"1990-1994","1990",52,"Віталій Романюк",10
1,1,"Шинкарук","Володимир",1938,"1990-1994","1990",52,"Володимир Шинкарук",11
1,1,"Грицай","Іван",1938,"1990-1994","1990",52,"Іван Грицай",12
1,1,"Танюк","Леонід",1938,"1990-1994","1990",52,"Леонід Танюк",13
1,1,"Бутенко","Анатолій",1938,"1990-1994","1990",52,"Анатолій Бутенко",14
1,1,"Бондаренко","Василь",1938,"1990-1994","1990",52,"Василь Бондаренко",15
1,1,"Санін","Василь",1938,"1990-1994","1990",52,"Василь Санін",16
1,1,"Гордієнко","Анатолій",1938,"1990-1994","1990",52,"Анатолій Гордієнко",17
1,1,"Савчук","Анатолій",1938,"1990-1994","1990",52,"Анатолій Савчук",18
1,1,"Ходоровський","Георгій",1938,"1990-1994","1990",52,"Георгій Ходоровський",19
1,1,"Асеєв","Герман",1938,"1990-1994","1990",52,"Герман Асеєв",20
1,1,"Дідоренко","Едуард",1938,"1990-1994","1990",52,"Едуард Дідоренко",21
1,1,"Кучма","Леонід",1938,"1990-1994","1990",52,"Леонід Кучма",22
1,1,"Дубров","Леонід",1938,"1990-1994","1990",52,"Леонід Дубров",23
1,2,"Скорик","Лариса",1939,"1990-1994","1990",51,"Лариса Скорик",1
1,2,"Янушевич","Станіслава",1939,"1990-1994","1990",51,"Станіслава Янушевич",2
1,2,"Архіпова","Ганна",1939,"1990-1994","1990",51,"Ганна Архіпова",3
1,1,"Смирнов","Юрій",1939,"1990-1994","1990",51,"Юрій Смирнов",4
1,1,"Федоров","Володимир",1939,"1990-1994","1990",51,"Володимир Федоров",5
1,1,"Коцюба","Олександр",1939,"1990-1994","1990",51,"Олександр Коцюба",6
